player_id,web_name,first_name,second_name,team,team_short_name,position,price_millions,selected_by_percent,transfers_in,transfers_out,status,chance_of_playing_next_round,news,captured_at
526,Solanke,Dominic,Solanke-Mitchell,Spurs,TOT,FWD,6.0,3.2,0,0,a,,,2026-07-28T16:37:26.460290+00:00
66,Soler,Julio,Soler Barreto,Bournemouth,BOU,DEF,4.0,0.6,0,0,a,,,2026-07-28T16:37:26.460290+00:00
205,Sosa,Borna,Sosa,Crystal Palace,CRY,DEF,4.5,0.0,0,0,a,,,2026-07-28T16:37:26.460290+00:00
511,Souza,João Victor,de Souza Menezes,Spurs,TOT,DEF,4.0,0.3,0,0,a,,,2026-07-28T16:37:26.460290+00:00
505,Spence,Djed,Spence,Spurs,TOT,DEF,4.5,10.4,0,0,a,,,2026-07-28T16:37:26.460290+00:00
335,Stach,Anton,Stach,Leeds,LEE,MID,6.0,1.5,0,0,a,,,2026-07-28T16:37:26.460290+00:00
111,Steele,Jason,Steele,Brighton,BHA,GK,4.0,5.2,0,0,a,,,2026-07-28T16:37:26.460290+00:00
462,Steur,Sean,Steur,Newcastle,NEW,MID,5.0,0.1,0,0,a,,,2026-07-28T16:37:26.460290+00:00
222,Strand Larsen,Jørgen,Strand Larsen,Crystal Palace,CRY,FWD,6.0,0.6,0,0,a,,,2026-07-28T16:37:26.460290+00:00
328,Struijk,Pascal,Struijk,Brighton,BHA,DEF,5.0,0.5,0,0,a,,,2026-07-28T16:37:26.460290+00:00
120,Svoboda,Michael,Svoboda,Brighton,BHA,DEF,5.0,0.1,0,0,a,,,2026-07-28T16:37:26.460290+00:00
319,Szmodics,Sam,Szmodics,Ipswich Town,IPS,MID,5.0,0.1,0,0,a,,,2026-07-28T16:37:26.460290+00:00
368,Szoboszlai,Dominik,Szoboszlai,Liverpool,LIV,MID,7.0,46.9,0,0,a,,,2026-07-28T16:37:26.460290+00:00
140,Sánchez,Robert,Lynch Sánchez,Chelsea,CHE,GK,5.0,2.0,0,0,a,,,2026-07-28T16:37:26.460290+00:00
549,Talbi,Chemsdine,Talbi,Sunderland,SUN,MID,5.5,0.2,0,0,a,,,2026-07-28T16:37:26.460290+00:00
345,Tanaka,Tanaka,Ao,Leeds,LEE,MID,5.0,0.3,0,0,a,,,2026-07-28T16:37:26.460290+00:00
556,Targett,Matt,Targett,Hull City,HUL,DEF,4.0,1.9,0,0,a,,,2026-07-28T16:37:26.460290+00:00
229,Tarkowski,James,Tarkowski,Everton,EVE,DEF,6.0,10.0,0,0,a,,,2026-07-28T16:37:26.460290+00:00
68,Tavernier,Marcus,Tavernier,Bournemouth,BOU,MID,6.0,1.4,0,0,a,,,2026-07-28T16:37:26.460290+00:00
312,Taylor,Jack,Taylor,Ipswich Town,IPS,MID,4.5,0.5,0,0,a,,,2026-07-28T16:37:26.460290+00:00
190,Tchaouna,Loum,Tchaouna,Coventry City,COV,MID,5.5,0.1,0,0,a,,,2026-07-28T16:37:26.460290+00:00
514,Tel,Mathys,Tel,Spurs,TOT,MID,6.0,0.2,0,0,a,,,2026-07-28T16:37:26.460290+00:00
256,Tete,Kenny,Tete,Fulham,FUL,DEF,4.5,0.2,0,0,a,,,2026-07-28T16:37:26.460290+00:00
